usgs_report_date,usgs_water_temp_max,usgs_water_temp_min,usgs_water_temp_mean,usgs_conductivity_max,usgs_conductivity_min,usgs_conductivity_mean
2018-09-06,23.428571428571427,22.17142857142857,22.814285714285713,210.85714285714286,182.85714285714286,189.71428571428572
2018-09-07,23.41428571428571,22.3,22.87142857142857,207.57142857142858,181.42857142857142,188.85714285714286
2018-09-08,23.428571428571427,22.428571428571427,22.95714285714286,210.0,181.71428571428572,189.14285714285714
2018-09-09,23.385714285714283,21.97142857142857,22.714285714285715,209.85714285714286,181.57142857142858,189.0
2018-09-10,23.02857142857143,21.442857142857147,22.285714285714285,209.14285714285714,181.0,188.57142857142858
2018-09-11,22.5,21.028571428571432,21.82857142857143,205.71428571428572,180.42857142857142,187.42857142857142
2018-09-12,22.142857142857142,20.52857142857143,21.4,198.85714285714286,175.14285714285714,185.57142857142858
2018-09-13,21.771428571428572,20.342857142857145,21.142857142857142,196.85714285714286,175.0,184.85714285714286
2018-09-14,21.514285714285712,20.071428571428573,20.82857142857143,196.57142857142858,176.14285714285714,185.42857142857142
2018-09-15,21.457142857142856,19.900000000000002,20.685714285714287,194.57142857142858,176.0,185.28571428571428
2018-09-16,21.457142857142856,20.285714285714285,20.87142857142857,194.14285714285714,176.42857142857142,185.42857142857142
2018-09-17,21.900000000000002,20.814285714285713,21.32857142857143,194.71428571428572,176.71428571428572,185.71428571428572
2018-09-18,22.385714285714283,21.25714285714286,21.785714285714285,194.28571428571428,176.85714285714286,186.28571428571428
2018-09-19,22.728571428571428,21.8,22.2,195.42857142857142,181.85714285714286,187.42857142857142
2018-09-20,22.914285714285715,21.87142857142857,22.314285714285717,195.85714285714286,181.42857142857142,187.28571428571428
2018-09-21,22.814285714285717,21.842857142857145,22.257142857142856,195.42857142857142,181.57142857142858,186.71428571428572
2018-09-22,22.557142857142853,21.642857142857142,22.057142857142857,203.0,177.14285714285714,185.71428571428572
2018-09-23,22.185714285714287,21.25714285714286,21.685714285714287,203.14285714285714,176.85714285714286,185.71428571428572
2018-09-24,21.585714285714285,20.714285714285715,21.142857142857142,204.85714285714286,176.85714285714286,185.85714285714286
2018-09-25,20.914285714285715,19.928571428571427,20.400000000000002,203.28571428571428,176.28571428571428,185.0
2018-09-26,20.157142857142855,19.114285714285717,19.599999999999998,210.14285714285714,174.14285714285714,185.14285714285714
2018-09-27,19.585714285714285,18.52857142857143,18.985714285714288,211.0,172.0,185.85714285714286
2018-09-28,19.142857142857142,18.085714285714285,18.542857142857144,210.0,171.85714285714286,185.57142857142858
2018-09-29,18.75714285714286,17.742857142857144,18.2,206.0,176.14285714285714,186.0
2018-09-30,18.457142857142856,17.485714285714288,17.9,208.42857142857142,176.42857142857142,186.42857142857142
2018-10-01,18.2,17.25714285714286,17.628571428571426,207.42857142857142,176.85714285714286,186.85714285714286
2018-10-02,17.95714285714286,17.142857142857142,17.45714285714286,214.42857142857142,177.71428571428572,188.0
2018-10-03,17.742857142857144,16.928571428571427,17.27142857142857,207.57142857142858,174.14285714285714,187.28571428571428
2018-10-04,17.385714285714286,16.75714285714286,17.057142857142857,208.14285714285714,176.57142857142858,187.0
2018-10-05,17.085714285714285,16.485714285714288,16.771428571428572,210.0,176.71428571428572,187.85714285714286
2018-10-06,16.75714285714286,16.214285714285715,16.442857142857143,209.28571428571428,177.0,188.71428571428572
2018-10-07,16.4,15.885714285714286,16.114285714285717,209.14285714285714,177.28571428571428,189.0
2018-10-08,16.1,15.585714285714285,15.842857142857143,210.42857142857142,177.0,188.85714285714286
2018-10-09,15.799999999999999,15.342857142857142,15.585714285714285,204.71428571428572,176.42857142857142,188.28571428571428
2018-10-10,15.742857142857144,15.242857142857144,15.471428571428573,205.28571428571428,182.42857142857142,189.14285714285714
2018-10-11,15.828571428571431,15.214285714285714,15.5,204.14285714285714,182.28571428571428,189.0
2018-10-12,15.957142857142857,15.271428571428572,15.557142857142855,203.14285714285714,180.0,188.0
2018-10-13,16.0,15.22857142857143,15.571428571428571,201.28571428571428,180.14285714285714,188.0
